"","Neoconocephalus triops (Linnaeus, 1758)","Gryllodes sigillatus (Walker, 1869)","Schistocerca quisqueya Rehn & Hebard, 1938","Orphulella punctata (De Geer, 1773)","Conocephalus cinereus Thunberg, 1815","Schistocerca nitens (Thunberg, 1815)","Sphingonotus haitensis (Saussure, 1861)","Schistocerca pallens (Thunberg, 1815)","Polyancistrus serrulatus (Palisot de Beauvois, 1805)","Tafalisca lurida Walker, 1869","Dellia dominicensis Perez-Gelabert, Dominici, Hierro & Otte, 1995","Schistocerca serialis (Thunberg, 1815)","Duartettix montanus Perez-Gelabert & Otte, 2000","Stenacris caribea (Rehn & Hebard, 1938)","Polyancistrus loripes Rehn, 1936","Sphingonotus haitensis haitensis","Espagnolopsis breviptera Perez-Gelabert, Hierro & Otte, 1997","Hispanacris oreades Perez-Gelabert, Dominici, Hierro & Otte, 1995","Gryllidae","Erechthis gundlachi Bolívar, 1888","Tergoceracris ebanoverde Perez-Gelabert & Otte, 2003","Xyleus discoideus rosulentus (Stål, 1878)","Espagnola darlingtoni Rehn & Rehn, 1939","Anacaona bellatrix Yong, 2019","Conocephalus insularis (Morse, 1905)","Amblytropidia hispaniolana Perez-Gelabert, Dominici, Hierro & Otte, 1995","Jaragua oviedensis Perez-Gelabert, Dominici & Hierro, 1995","Neibamastax divergentis (Perez-Gelabert, Hierro, Dominici & Otte, 1997)","Melanoplus perezi Otte, 2012","Dellia roseomaculata Perez-Gelabert & Otte, 1999","Unicorniella hatueyi Yong, 2019","Acridurus robustus Perez-Gelabert, Dominici, Hierro & Otte, 1995","Polyancistrus gerulus Rehn, 1936","Acridurus neibanus Perez-Gelabert, Dominici, Hierro & Otte, 1995","Hispanotettix nitidus Perez-Gelabert, Dominici, Hierro & Otte, 1995","Rhammatocerus cyanipes (Fabricius, 1775)","Dellia viridissima Perez-Gelabert & Otte, 2012","Neoconocephalus occidentalis (Saussure, 1859)","Espagnoleta microptera (Perez-Gelabert, Hierro & Otte, 1997)","Tainacris nitaina Perez-Gelabert, Hierro, Dominici & Otte, 1997","Tainacris quisqueiana Perez-Gelabert, Hierro, Dominici & Otte, 1997","Antillacris explicatrix Rehn & Rehn, 1939","Acridurus yayitas Perez-Gelabert, Dominici, Hierro & Otte, 1995","Dellia bayahibe Perez-Gelabert, 2002","Neoconocephalus affinis (Palisot de Beauvois, 1805)","Espagnolopsis ornatipennis Perez-Gelabert, Hierro & Otte, 1997","Dellia monticola Perez-Gelabert & Otte, 1999","Neoconocephalus pinicola Walker & Greenfield, 1983","Tettigoniidae","Antillacris inflaticercus Perez-Gelabert, Hierro, Dominici & Otte, 1997","Antillacris eumenes Perez-Gelabert, Hierro, Dominici & Otte, 1997","Tergoceracris ocampensis Perez-Gelabert & Otte, 2003","Jaragua serranus Perez-Gelabert, Dominici & Hierro, 1995","Acheta domesticus (Linnaeus, 1758)","Conocephalus fasciatus (De Geer, 1773)","Gryllus Linnaeus, 1758","Ellipes minuta (Scudder, 1862)","Phlugis Stål, 1861","Conocephalus strictus (Scudder, 1875)","Spelaeala bondi Rehn, 1943","Spelaeala scobina Rehn, 1943","Proanaxipha madgesuttonae Heads & Penney, 2012","Mirhipipteryx antillarum Heads, 2010","Archaeoellipes engeli Heads, 2010","Cyrtoxipha electrina Gorochov, 2010","Cyrtoxipha illegibilis Gorochov, 2010","Miophlugis rostratus Gorochov, 2010","Abanaxipha longispina Vickery & Poinar Jr., 1994","Pseudarachnocephalus dominicanus Gorochov, 2010","Proanaxipha latoca Vickery & Poinar Jr., 1994","Pseudarachnocephalus latiusculus Gorochov, 2010","Grossoxipha feminea Gorochov, 2010","Paleomastacris ambarinus Perez-Gelabert, Hierro, Dominici & Otte, 1997","Baeotettix lottiae Heads, 2009","Antillotettix electrum Heads, 2009","Grossoxipha yaque Vickery & Poinar Jr., 1994","Abanaxipha incongrua Vickery & Poinar Jr., 1994","Ornebius ambericus Vickery & Poinar Jr., 1994","Anaxipha dominica Vickery & Poinar Jr., 1994","Araneagryllus dylani Heads, 2010","Electrotettix attenboroughi Heads & Thomas, 2014","Paratettix frey-gessnerii Bolívar, 1887","Sphingonotus haitiensis (Saussure, 1861)","Turpilia Stål, 1874","Orphulella decisa (Walker, 1870)","Orphulella nesicos Otte, 1979","Hispanacris Perez-Gelabert, Dominici, Hierro & Otte, 1995","Erioloides Hebard, 1927","Phlugis chrysopa Bolívar, 1888","Phoebolampta excellens (Walker, 1869)","Anaulacomera Stål, 1873"
"864cd6c67ffffff",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"864c89027ffffff",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"864cd4247ffffff",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"864cd2da7ffffff",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"864c89a8fffffff",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"864cd4277ffffff",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"864cd42c7ffffff",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"864cd6c47ffffff",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"864cd2d1fffffff",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"864cc6567ffffff",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"864cd5127ffffff",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
