"Var1","Freq"
"Andrographis paniculata",4
"Asystasia gangetica",13
"Avicennia germinans",15
"Barleria lupulina",7
"Barleriola inermis",7
"Barleriola solanifolia",6
"Crossandra infundibuliformis",8
"Dicliptera mucronata",4
"Dicliptera obtusifolia",1
"Dyschoriste diffusa",11
"Eranthemum pulchellum",1
"Graptophyllum pictum",8
"Hygrophila costata",11
"Hypoestes phyllostachya",1
"Justicia abeggii",1
"Justicia alsinoides",2
"Justicia brandegeeana",6
"Justicia buchii",1
"Justicia comata",2
"Justicia disparifolia",15
"Justicia dumosa",1
"Justicia fulvicoma",2
"Justicia mirabilioides",5
"Justicia nemorosa",1
"Justicia pectoralis",1
"Justicia periplocifolia",1
"Justicia reptans",3
"Justicia secunda",2
"Justicia sessilis",2
"Justicia spinigera",3
"Justicia spinossisima",1
"Lepidagathis alopecuroidea",22
"Megaskepasma erythrochlamys",5
"Odontonema cuspidatum",23
"Oplonia acicularis",2
"Oplonia microphylla",5
"Oplonia spinosa",11
"Pachystachys lutea",17
"Pseuderanthemum carruthersii",1
"Ruellia blechum",18
"Ruellia coccinea",13
"Ruellia domingensis",8
"Ruellia geminiflora",3
"Ruellia lepidota",3
"Ruellia malacosperma",1
"Ruellia nudiflora",3
"Ruellia simplex",31
"Ruellia tuberosa",25
"Sanchezia oblonga",1
"Sanchezia parvibracteata",2
"Sanchezia speciosa",2
"Stenandrium scabrosum",1
"Stenandrium tuberosum",9
"Strobilanthes alternata",2
"Thunbergia affinis",1
"Thunbergia alata",47
"Thunbergia erecta",2
"Thunbergia fragrans",17
"Thunbergia grandiflora",10
