"Var1","Freq"
"Aedes aegypti",46
"Aedes albonotatus",188
"Aedes albopictus",4
"Aedes mediovittatus",267
"Aedes pertinax",134
"Aedes scapularis",70
"Aedes sollicitans",2
"Aedes taeniorhynchus",3
"Aedes tortilis",29
"Anopheles albimanus",80
"Anopheles crucians",5
"Anopheles dominicanus",1
"Anopheles grabhamii",64
"Anopheles vestitipennis",1
"Culex antillummagnorum",1
"Culex atratus",38
"Culex bahamensis",51
"Culex bisulcatus",1
"Culex corniger",87
"Culex coronator",5
"Culex duplicator",25
"Culex erraticus",7
"Culex habilitator",11
"Culex inhibitator",80
"Culex janitor",27
"Culex malariager",1
"Culex nigripalpus",195
"Culex pilosus",16
"Culex quinquefasciatus",27
"Culex secutor",61
"Deinocerites cancer",7
"Orthopodomyia signifera",30
"Psorophora ferox",8
"Psorophora infinis",125
"Psorophora insularia",254
"Psorophora jamaicensis",190
"Psorophora johnstonii",21
"Psorophora pygmaea",8
"Toxorhynchites portoricensis",50
"Uranotaenia lowii",23
"Uranotaenia socialis",6
"Wyeomyia mitchellii",587
"Wyeomyia nigritubus",4
"Wyeomyia sororcula",448
