"Var1","Freq"
"Abrus precatorius",14
"Acacia auriculiformis",2
"Acacia confusa",5
"Acacia mangium",16
"Acacia melanoxylon",3
"Acacia scleroxyla",6
"Acaciella glauca",1
"Adenanthera pavonina",10
"Aeschynomene americana",23
"Aeschynomene pratensis",10
"Aeschynomene sensitiva",4
"Aeschynomene villosa",3
"Albizia berteriana",5
"Albizia berteroana",15
"Albizia carbonaria",1
"Albizia julibrissin",1
"Albizia lebbeck",12
"Albizia niopoides",1
"Albizia procera",1
"Alysicarpus vaginalis",10
"Anadenanthera peregrina",7
"Ancistrotropis peduncularis",2
"Andira inermis",17
"Arachis glabrata",1
"Arachis hypogaea",1
"Arachis pintoi",1
"Arcoa gonavensis",14
"Ateleia gummifera",15
"Ateleia microcarpa",5
"Barbieria pinnata",14
"Barnebydendron riedelii",1
"Bauhinia divaricata",24
"Bauhinia galpinii",2
"Bauhinia monandra",6
"Bauhinia purpurea",1
"Bauhinia tomentosa",1
"Bauhinia variegata",3
"Biancaea decapetala",7
"Brya buxifolia",21
"Caesalpinia barahonensis",6
"Caesalpinia brasiliensis",3
"Caesalpinia domingensis",11
"Caesalpinia pulcherrima",16
"Cajanus cajan",152
"Calliandra haematocephala",1
"Calliandra haematomma",43
"Calliandra houstoniana",5
"Calliandra pedicellata",25
"Calliandra surinamensis",5
"Calopogonium galactioides",1
"Calopogonium galactoides",3
"Calopogonium mucunoides",2
"Canavalia nitida",4
"Canavalia plagiosperma",1
"Canavalia rosea",21
"Cassia biflora",1
"Cassia emarginata",1
"Cassia fistula",12
"Cassia grandis",29
"Cenostigma pellucidum",2
"Centrosema plumieri",15
"Centrosema pubescens",11
"Centrosema virginianum",50
"Chamaecrista diphylla",8
"Chamaecrista fasciculata",1
"Chamaecrista glandulosa",36
"Chamaecrista lineata",21
"Chamaecrista nictitans",33
"Chamaecrista pedicellaris",11
"Chamaecrista pilosa",1
"Chamaecrista portoricensis",3
"Chloroleucon guantanamense",4
"Clitoria fairchildiana",1
"Clitoria falcata",1
"Clitoria ternatea",21
"Cojoba arborea",23
"Cojoba bahorucensis",9
"Cojoba filipes",18
"Cojoba samanensis",2
"Cojoba zanonii",15
"Coronilla varia",2
"Coulteria cubensis",1
"Coursetia caribaea",4
"Crotalaria incana",21
"Crotalaria juncea",1
"Crotalaria lotifolia",5
"Crotalaria pallida",34
"Crotalaria pumila",4
"Crotalaria purdiana",1
"Crotalaria retusa",30
"Crotalaria spectabilis",2
"Crotalaria stipularia",8
"Crotalaria verrucosa",11
"Ctenodon pleuronervius",1
"Cynometra portoricensis",7
"Dalbergia berteroi",6
"Dalbergia brownei",4
"Dalbergia ecastaphyllum",7
"Dalbergia ovalis",12
"Dalea carthagenensis",11
"Delonix regia",62
"Denisophytum buchii",5
"Denisophytum pauciflorum",3
"Desmanthus leptophyllus",6
"Desmanthus virgatus",15
"Desmodium affine",2
"Desmodium axillare",12
"Desmodium ciliare",4
"Desmodium cubense",3
"Desmodium glabrum",8
"Desmodium incanum",21
"Desmodium intortum",2
"Desmodium procumbens",4
"Desmodium scorpiurus",3
"Desmodium tortuosum",14
"Diphysa americana",1
"Entada gigas",22
"Entada polystachya",7
"Entada rheedei",1
"Enterolobium cyclocarpum",14
"Eriosema crinitum",2
"Erythrina berteroana",2
"Erythrina buchii",2
"Erythrina corallodendron",1
"Erythrina leptopoda",1
"Erythrina poeppigiana",5
"Erythrina variegata",3
"Erythrostemon glandulosus",2
"Flemingia strobilifera",21
"Galactia buchii",6
"Galactia dictyophylla",1
"Galactia dubia",4
"Galactia filiformis",1
"Galactia fuertesii",3
"Galactia lignosa",1
"Galactia longifolia",3
"Galactia parvifolia",1
"Galactia schomburgkii",3
"Galactia spiciformis",1
"Galactia striata",11
"Galactia synandra",4
"Genista monspessulana",1
"Gleditsia aquatica",1
"Gliricidia sepium",14
"Glycine max",1
"Grona adscendens",9
"Grona barbata",6
"Grona triflora",6
"Guilandina bonduc",13
"Guilandina ciliata",3
"Guilandina sphaerosperma",4
"Haematoxylum campechianum",20
"Hymenaea courbaril",24
"Indigofera colutea",11
"Indigofera fruticosa",1
"Indigofera lespedezioides",1
"Indigofera microcarpa",1
"Indigofera subulata",14
"Indigofera suffruticosa",20
"Indigofera tinctoria",6
"Inga edulis",7
"Inga laurina",19
"Inga ruiziana",1
"Inga vera",32
"Jupunba abbottii",5
"Jupunba glauca",4
"Jupunba obovalis",3
"Jupunba oppositifolia",12
"Lablab purpureus",1
"Lathyrus articulatus",1
"Lathyrus oleraceus",1
"Lespedeza juncea",1
"Leucaena leucocephala",47
"Leucaena macrophylla",1
"Leucaena trichodes",10
"Libidibia coriaria",22
"Libidibia monosperma",17
"Lonchocarpus heptaphyllus",14
"Lonchocarpus longipes",9
"Lonchocarpus neurophyllus",8
"Lonchocarpus pycnophyllus",5
"Lonchocarpus sericeus",26
"Lupinus mexicanus",1
