"Var1","Freq"
"Aechmea nudicaulis",5
"Ananas comosus",9
"Billbergia pyramidalis",1
"Bromelia karatas",6
"Bromelia pinguin",13
"Catopsis berteroniana",6
"Catopsis floribunda",25
"Catopsis nitida",38
"Catopsis nutans",8
"Catopsis sessiliflora",1
"Cipuropsis capituligera",3
"Guzmania berteroniana",12
"Guzmania ekmanii",8
"Guzmania lingulata",10
"Guzmania monostachia",27
"Pitcairnia angustifolia",1
"Pitcairnia bromeliifolia",3
"Pitcairnia domingensis",5
"Pitcairnia elizabethae",5
"Pitcairnia fuertesii",20
"Pitcairnia jimenezii",4
"Pitcairnia samuelssonii",7
"Racinaea lescaillei",2
"Racinaea spiculosa",5
"Racinaea tetrantha",11
"Tillandsia ariza-juliae",3
"Tillandsia balbisiana",68
"Tillandsia baliophylla",15
"Tillandsia bulbosa",4
"Tillandsia capitata",3
"Tillandsia compacta",14
"Tillandsia compressa",17
"Tillandsia deppeana",17
"Tillandsia didistichoides",18
"Tillandsia fasciculata",78
"Tillandsia fendleri",16
"Tillandsia festucoides",29
"Tillandsia flexuosa",9
"Tillandsia hotteana",23
"Tillandsia juncea",61
"Tillandsia kuzmae",5
"Tillandsia moscosoi",4
"Tillandsia paniculata",13
"Tillandsia paucifolia",24
"Tillandsia polystachia",41
"Tillandsia pruinosa",27
"Tillandsia recurvata",91
"Tillandsia schiedeana",43
"Tillandsia selleana",10
"Tillandsia setacea",70
"Tillandsia tenuifolia",19
"Tillandsia usneoides",54
"Tillandsia utriculata",18
"Tillandsia variabilis",45
"Werauhia gibba",2
"Werauhia ringens",1
"Werauhia sintenisii",10
"Zizkaea tuerckheimii",36
