"x"
"Acanthognathus poinari Baroni Urbani, 1994"
"Acanthostichus hispaniolicus de Andrade, 1998"
"Acropyga dubitata (Wheeler & Mann, 1914)"
"Acropyga fuhrmanni (Forel, 1914)"
"Acropyga glaesaria LaPolla, 2005"
"Acropyga parvidens (Wheeler & Mann, 1914)"
"Acropyga Roger, 1862"
"Anochetus ambiguus De Andrade, 1994"
"Anochetus brevidentatus MacKay, 1991"
"Anochetus conisquamis De Andrade, 1994"
"Anochetus corayi Baroni Urbani, 1980"
"Anochetus dubius De Andrade, 1994"
"Anochetus exstinctus De Andrade, 1994"
"Anochetus intermedius De Andrade, 1994"
"Anochetus lucidus De Andrade, 1994"
"Anochetus mayri Emery, 1884"
"Aphaenogaster amphioceanica de Andrade, 1995"
"Aphaenogaster Mayr, 1853"
"Apterostigma electropilosum Schultz, 2007"
"Apterostigma eowilsoni Schultz, 2007"
"Azteca alpha Wilson, 1985"
"Azteca eumeces Wilson, 1985"
"BOLD:AAE6208"
"BOLD:AAF4715"
"BOLD:AAF5326"
"BOLD:AAF5327"
"BOLD:AAJ5973"
"Bothriomyrmex enigmaticus Prebus & Lubertazzi, 2016"
"Brachymyrmex australis Forel, 1901"
"Brachymyrmex heeri Forel, 1874"
"Brachymyrmex Mayr, 1868"
"Brachymyrmex obscurior Forel, 1893"
"Camponotus albistramineus Wheeler, 1936"
"Camponotus augustei Wheeler & Mann, 1914"
"Camponotus christophei Wheeler & Mann, 1914"
"Camponotus claviscapus Forel, 1899"
"Camponotus claviscapus occultus Wheeler & Mann, 1914"
"Camponotus conspicuus (Smith, 1858)"
"Camponotus fumidus soulouquei Forel, 1901"
"Camponotus indet"
"Camponotus lucayanus Wheeler, 1905"
"Camponotus Mayr, 1861"
"Camponotus saussurei Forel, 1879"
"Camponotus saussurei Theobald, 1937"
"Camponotus sexguttatus (Fabricius, 1793)"
"Camponotus ustus Forel, 1879"
"Cardiocondyla emeryi Forel, 1881"
"Cardiocondyla minutior Forel, 1899"
"Cardiocondyla venustula Wheeler, 1908"
"Cephalotes alveolatus (Vierbergen & Scheven, 1995)"
"Cephalotes argentiventris De Andrade, 1999"
"Cephalotes auricomus"
"Cephalotes bloosi Baroni Urbani, 1999"
"Cephalotes brevispineus De Andrade, 1999"
"Cephalotes caribicus de Andrade, 1999"
"Cephalotes decoloratus De Andrade, 1999"
"Cephalotes dieteri Baroni Urbani, 1999"
"Cephalotes flavigaster De Andrade, 1999"
"Cephalotes hamulus (Roger, 1863)"
"Cephalotes hispaniolicus De Andrade, 1999"
"Cephalotes integerrimus (Vierbergen & Scheven, 1995)"
"Cephalotes jansei (Vierbergen & Scheven, 1995)"
"Cephalotes Latreille, 1802"
"Cephalotes obscurus (Vierbergen & Scheven, 1995)"
"Cephalotes resinae De Andrade, 1999"
"Cephalotes serratus (Vierbergen & Scheven, 1995)"
"Cephalotes squamosus (Vierbergen & Scheven, 1995)"
"Cephalotes sucinus De Andrade, 1999"
"Cephalotes taino De Andrade, 1999"
"Cephalotes unimaculatus (Smith, 1853)"
"Crematogaster Lund, 1831"
"Crematogaster russoi Menozzi, 1930"
"Crematogaster steinheili Forel, 1881"
"Cylindromyrmex antillanus de Andrade, 1998"
"Cylindromyrmex darlingtoni Wheeler, 1937"
"Cylindromyrmex electrinus de Andrade, 1998"
"Cylindromyrmex inopinatus de Andrade, 2001"
"Cylindromyrmex Mayr, 1870"
"Cyphomyrmex Mayr, 1862"
"Cyphomyrmex minutus Mayr, 1862"
"Cyphomyrmex rimosus (Spinola, 1851)"
"Cyphomyrmex taino de Andrade, 2003"
"Discothyrea gigas de Andrade, 1998"
"Discothyrea testacea Roger, 1863"
"Dolichoderus caribbaeus (Wilson, 1985)"
"Dolichoderus dibolius Wilson, 1985"
"Dolichoderus primitivus (Wilson, 1985)"
"Dolichoderus prolaminatus (Wilson, 1985)"
"Dorymyrmex Mayr, 1866"
"Dorymyrmex pyramicus (Roger, 1863)"
"Eurhopalothrix floridana Brown & Kempf, 1960"
"Formicidae"
"Fulakora Mann, 1919"
"Gnamptogenys brunoi (Lattke, 2002)"
"Gnamptogenys casca Lattke, 2002"
"Gnamptogenys haytiana (Wheeler & Mann, 1914)"
"Gnamptogenys levinates Baroni Urbani, 1980"
"Gnamptogenys lineolata Brown, 1993"
"Gnamptogenys pristina Baroni Urbani, 1980"
"Gnamptogenys Roger, 1863"
"Gnamptogenys semiferox Brown, 1958"
"Gnamptogenys striatula Mayr, 1884"
"Holcoponera Mayr, 1887"
"Hypocryptocerus Wheeler, 1920"
"Hypoponera opaciceps (Mayr, 1887)"
"Hypoponera opacior (Forel, 1893)"
"Hypoponera punctatissima (Roger, 1859)"
"Hypoponera Santschi, 1938"
"Ilemomyrmex caecus Wilson, 1985"
"Iridomyrmex Mayr, 1862"
"Leptogenys antillana Wheeler, 1914"
"Leptogenys pubiceps Emery, 1890"
"Leptomyrmex neotropicus Baroni Urbani, 1980"
"Leptothorax caritatis (de Andrade, 1999)"
"Leptothorax ciferrii (Menozzi & Russo, 1930)"
"Leptothorax dominicanus (de Andrade, 1999)"
"Leptothorax Mayr, 1855"
"Leptothorax praecreolus De Andrade, 1992"
"Linepithema dispertitum (Forel, 1885)"
"Linepithema hispaniolae (Wilson, 1985)"
"Linepithema humile (Mayr, 1868)"
"Linepithema humiloides (Wilson, 1985)"
"Linepithema keiteli (Forel, 1907)"
"Linepithema Mayr, 1866"
"Monomorium bicolor Emery, 1877"
"Monomorium destructor (Jerdon, 1851)"
"Monomorium ebeninum Forel, 1891"
"Monomorium floricola (Jerdon, 1851)"
"Monomorium Mayr, 1855"
"Monomorium pharaonis (Linnaeus, 1758)"
"Monomorium subcoecum Emery, 1894"
"Mycetomoellerius Solomon, Rabeling, Sosa-Calvo & Schultz, 2019"
"Mycocepurus Forel, 1893"
"Mycocepurus smithii (Forel, 1893)"
"Myrmelachista gagates Wheeler, 1936"
"Myrmelachista ramulorum Wheeler, 1908"
"Myrmelachista Roger, 1863"
"Myrmicinae Lepeletier de Saint-Fargeau, 1835"
"Neivamyrmex ectopus Wilson, 1985"
"Nesomyrmex Wheeler, 1910"
"Nylanderia bibadia Kallal, 2019"
"Nylanderia caerula Kallal, 2019"
"Nylanderia deyrupi Messer, Cover & Rabeling, 2020"
"Nylanderia disatra Kallal, 2019"
"Nylanderia Emery, 1906"
"Nylanderia esperanza Kallal, 2019"
"Nylanderia fuscaspecula Kallal, 2019"
"Nylanderia guatemalensis (Forel, 1885)"
"Nylanderia metacista Kallal, 2019"
"Nylanderia pini Kallal, 2019"
"Nylanderia steinheili (Forel, 1893)"
"Nylanderia vetula LaPolla & Dlussky, 2010"
"Odontomachus bauri Emery, 1892"
"Odontomachus insularis Guerin-Meneville, 1844"
"Odontomachus Latreille, 1804"
"Odontomachus pseudobauri De Andrade, 1994"
"Odontomachus ruginodis Smith, 1937"
"Odontomachus spinifer De Andrade, 1994"
"Oxyidris antillana Wilson, 1985"
"Pachycondyla Smith, 1858"
"Pachycondyla stigma (Fabricius, 1804)"
"Pachycondyla succedanea (Roger, 1863)"
"Paraponera dieteri Baroni Urbani, 1994"
"Paraponera Smith, 1858"
"Paratrechina longicornis (Latreille, 1802)"
"Paratrechina Motschoulsky, 1863"
"Paratrechina pubens (Forel, 1893)"
"Pheidole drepanon"
"Pheidole flavens Roger, 1863"
"Pheidole harlequina"
"Pheidole hispaniolae"
"Pheidole jamaicensis"
"Pheidole jelskii Mayr, 1884"
"Pheidole megacephala (Fabricius, 1793)"
"Pheidole moerens Wheeler, 1908"
"Pheidole noar"
"Pheidole primigenia Baroni Urbani, 1995"
"Pheidole subarmata Mayr, 1884"
"Pheidole susannae Forel, 1886"
"Pheidole teneriffana Forel, 1893"
"Pheidole terresi Wheeler & Mann, 1914"
"Pheidole tethepa Wilson, 1985"
"Pheidole Westwood, 1839"
"Platythyrea dentata Lattke, 2003"
"Platythyrea procera Lattke, 2003"
"Platythyrea pumilio de Andrade, 2004"
"Platythyrea punctata (Smith, 1858)"
"Platythyrea Roger, 1863"
"Platythyrea scalprum Lattke, 2003"
"Platythyrea strenua Wheeler & Mann, 1914"
"Pogonomyrmex aterrimus Wheeler, 1936"
"Pogonomyrmex saucius Wheeler & Mann, 1914"
"Pogonomyrmex schmitti Forel, 1901"
"Poneracantha Emery, 1897"
"Prenolepis Mayr, 1861"
"Proceratium denticulatum Lattke, 1991"
"Proceratium dominicanum de Andrade, 2003"
"Proceratium gibberum de Andrade, 2003"
"Proceratium poinari Baroni Urbani & de Andrade, 2003"
"Proceratium Roger, 1863"
"Pseudomyrmex antiquus Ward, 1992"
"Pseudomyrmex avitus Ward, 1992"
"Pseudomyrmex baros Ward, 1992"
"Pseudomyrmex coruscus Ward, 1992"
"Pseudomyrmex cubaensis (Forel, 1901)"
"Pseudomyrmex haytianus (Forel, 1901)"
"Pseudomyrmex Lund, 1831"
"Pseudomyrmex macrops Ward, 1992"
"Pseudomyrmex nexilis Ward, 1992"
"Pseudomyrmex oryctus Ward, 1992"
"Pseudomyrmex pallidus (Smith, 1855)"
"Pseudomyrmex prioris Ward, 1992"
"Pseudomyrmex simplex (Smith, 1877)"
"Pseudomyrmex subater (Wheeler, 1914)"
"Pseudomyrmex succinus Ward, 1992"
"Pseudomyrmex thecolor Ward, 1992"
"Pseudomyrmex vicinus Ward, 1992"
"Pyramica eggersi (Emery, 1890)"
"Pyramica electrina (De Andrade, 1994)"
"Pyramica emmae (Emery, 1890)"
"Pyramica membranifera (Emery, 1869)"
"Pyramica schleeorum (Baroni Urbani, 1994)"
"Rhizomyrma Forel, 1893"
"Rogeria alzatei Kugler, 1994"
"Rogeria brunnea Santschi, 1930"
"Rogeria curvipubens Emery, 1894"
"Rogeria Emery, 1923"
"Rogeria leptonana"
"Solenopsis geminata (Fabricius, 1804)"
"Solenopsis globularia (Smith, 1858)"
"Solenopsis invicta Buren, 1972"
"Solenopsis pollux Forel, 1893"
"Solenopsis terricola Menozzi, 1931"
"Solenopsis Westwood, 1840"
"Strumigenys gundlachi"
"Strumigenys lanuginosa Wheeler, 1905"
"Strumigenys nigrescens"
"Strumigenys pilosula de Andrade, 2007"
"Strumigenys poinari Baroni Urbani & de Andrade, 2007"
"Strumigenys rogeri Emery, 1890"
"Strumigenys silvestrii Emery, 1906"
"Strumigenys Smith, 1860"
"Strumigenys zemi Booher, Prebus & Lubertazzi, 2019"
"Syscia Roger, 1861"
"Tapinoma Förster, 1850"
"Tapinoma litorale Wheeler, 1905"
"Tapinoma melanocephalum (Fabricius, 1793)"
"Tapinoma opacum Wheeler & Mann, 1914"
"Tapinoma rasenum Smith & Lavigne, 1973"
"Tapinoma troche Wilson, 1985"
"Technomyrmex caritatis Brandão & Baroni Urbani, 1999"
"Temnothorax agavicola Prebus, 2021"
"Temnothorax bahoruco Prebus, 2021"
"Temnothorax balaclava Prebus, 2021"
"Temnothorax harlequina Prebus, 2021"
"Temnothorax laticrus Prebus, 2021"
"Temnothorax Mayr, 1861"
"Temnothorax wilsoni Prebus, 2021"
"Tetramorium bicarinatum (Nylander, 1846)"
"Tetramorium caldarium (Roger, 1857)"
"Tetramorium Mayr, 1855"
"Tetramorium simillimum (Smith, 1851)"
"Thaumatomyrmex Mayr, 1887"
"Trachymyrmex jamaicensis (Andre, 1893)"
"Trachymyrmex primaevus Baroni Urbani, 1980"
"Wasmannia auropunctata (Roger, 1863)"
"Wasmannia Forel, 1893"
"Zatania electra LaPolla, Kallal & Brady, 2012"
